Muni;Mun1;CodigoMunicipio;CodMun ;Mun2
FUSAGASUGÁ;Fusagasugá;25290;25290;Fusagasugá
GACHALA;Gachala;25293;25293;Gachala
GACHANCIPÁ;Gachancipá;25295;25295;Gachancipá
GACHETÁ;Gachetá;25297;25297;Gachetá
GAMA;Gama;25299;25299;Gama
GIRARDOT;Girardot;25307;25307;Girardot
GRANADA;Granada;25312;25312;Granada
GUACHETÁ;Guachetá;25317;25317;Guachetá
GUADUAS;Guaduas;25320;25320;Guaduas
GUASCA;Guasca;25322;25322;Guasca
GUATAQUÍ;Guataquí;25324;25324;Guataquí
GUATAVITA;Guatavita;25326;25326;Guatavita
GUAYABAL DE SIQUIMA;Guayabal De Siquima;25328;25328;Guayabal De Siquima
GUAYABETAL;Guayabetal;25335;25335;Guayabetal
GUTIÉRREZ;Gutiérrez;25339;25339;Gutiérrez
JERUSALÉN;Jerusalén;25368;25368;Jerusalén
JUNÍN;Junín;25372;25372;Junín
LA CALERA;La Calera;25377;25377;La Calera
LA MESA;La Mesa;25386;25386;La Mesa
LA PALMA;La Palma;25394;25394;La Palma
LA PEÑA;La Peña;25398;25398;La Peña
LA VEGA;La Vega;25402;25402;La Vega
LENGUAZAQUE;Lenguazaque;25407;25407;Lenguazaque
MACHETA;Macheta;25426;25426;Macheta
MADRID;Madrid;25430;25430;Madrid
MANTA;Manta;25436;25436;Manta
MEDINA;Medina;25438;25438;Medina
MOSQUERA;Mosquera;25473;25473;Mosquera
NARIÑO;Nariño;25483;25483;Nariño
NEMOCÓN;Nemocón;25486;25486;Nemocón
NILO;Nilo;25488;25488;Nilo
NIMAIMA;Nimaima;25489;25489;Nimaima
NOCAIMA;Nocaima;25491;25491;Nocaima
VENECIA;Venecia;25506;25506;Venecia
PACHO;Pacho;25513;25513;Pacho
PAIME;Paime;25518;25518;Paime
PANDI;Pandi;25524;25524;Pandi
PARATEBUENO;Paratebueno;25530;25530;Paratebueno
PASCA;Pasca;25535;25535;Pasca
PUERTO SALGAR;Puerto Salgar;25572;25572;Puerto Salgar
PULÍ;Pulí;25580;25580;Pulí
QUEBRADANEGRA;Quebradanegra;25592;25592;Quebradanegra
QUETAME;Quetame;25594;25594;Quetame
QUIPILE;Quipile;25596;25596;Quipile
APULO;Apulo;25599;25599;Apulo
RICAURTE;Ricaurte;25612;25612;Ricaurte
SAN ANTONIO DEL TEQUENDAMA;San Antonio Del Tequendama;25645;25645;San Antonio Del Tequendama
SAN BERNARDO;San Bernardo;25649;25649;San Bernardo
SAN CAYETANO;San Cayetano;25653;25653;San Cayetano
SAN FRANCISCO;San Francisco;25658;25658;San Francisco
SAN JUAN DE RÍO SECO;San Juan De Río Seco;25662;25662;San Juan De Río Seco
